CNAME,MAJOR_ID,CREDITS
Introduction to Literary Studies,1,15
British Literature I,1,15
American Literature I,1,15
World Literature,1,15
British Literature II,1,15
American Literature II,1,15
Shakespearean Studies,1,15
Modernism and Postmodernism,1,15
Victorian Literature,1,15
Romantic Literature,1,15
Renaissance Literature,1,15
Medieval Literature,1,15
Literary Theory and Criticism,1,15
African-American Literature,1,15
Gender and Literature,1,15
Postcolonial Literature,1,15
Contemporary Literature,1,15
Film Studies and Literature,1,15
Creative Writing,1,15
Comparative Literature,1,15
Literary Research Methods,1,15
Literature of the Americas,1,15
Poetry Workshop,1,15
Prose Workshop,1,15
Introduction to Fine Arts,2,15
Art History,2,15
Drawing I,2,15
Painting I,2,15
Sculpture I,2,15
Printmaking I,2,15
Figure Drawing,2,15
Painting II,2,15
Sculpture II,2,15
Printmaking II,2,15
Contemporary Art,2,15
Digital Art,2,15
Photography,2,15
Art Criticism,2,15
Installation Art,2,15
Performance Art,2,15
Advanced Drawing,2,15
Advanced Painting,2,15
Advanced Sculpture,2,15
Advanced Printmaking,2,15
Art and Society,2,15
Artistic Research,2,15
Professional Practices in Fine Arts,2,15
Senior Exhibition,2,15
World History,3,15
Ancient History,3,15
Medieval History,3,15
American History,3,15
Historical Methods,3,15
Modern History,3,15
Renaissance and Reformation,3,15
Colonial History,3,15
American Revolution,3,15
World War I,3,15
World War II,3,15
Cold War History,3,15
African History,3,15
Asian History,3,15
Latin American History,3,15
Middle Eastern History,3,15
History of Science,3,15
Womens History,3,15
History of Empires,3,15
History and Memory,3,15
Oral History,3,15
Historical Writing,3,15
Capstone Seminar in History,3,15
Final Thesis Course,3,15
Music Theory,4,15
Music History,4,15
Ear Training,4,15
Applied Instrument I,4,15
Ensemble,4,15
Music Technology,4,15
Music Analysis,4,15
Music Composition,4,15
Applied Instrument II,4,15
Chamber Music,4,15
Music Pedagogy,4,15
Orchestration,4,15
Vocal Techniques,4,15
Opera Workshop,4,15
Jazz Studies,4,15
Advanced Music Performance,4,15
Music Psychology,4,15
Music and Technology,4,15
Conducting,4,15
Music Business,4,15
Music Therapy,4,15
Music and Culture,4,15
Music Education,4,15
Senior Recital,4,15
Introduction to Biology,5,15
Cell Biology,5,15
Genetics,5,15
Microbiology,5,15
Ecology,5,15
Evolutionary Biology,5,15
Comparative Anatomy,5,15
Physiology,5,15
Molecular Biology,5,15
Biostatistics,5,15
Immunology,5,15
Genetics,5,15
Neurobiology,5,15
Research Methods in Biology,5,15
Biotechnology,5,15
Ecology and Conservation,5,15
Developmental Biology,5,15
Evolutionary Biology and Biodiversity,5,15
Seminar in Biology,5,15
Capstone Project in Biology,5,15
Internship in Biology,5,15
