JNAME,JDESCRIPTION,DEPARTMENT_ID
Admissions Counselor,"Recruits and advises prospective students, reviews applications, and facilitates the admissions process.",1
Admissions Coordinator,"Coordinates admissions events, manages application materials, and assists with admissions-related inquiries.",1
Admissions Data Analyst,"Analyzes admissions data, prepares reports, and provides insights to support data-driven decision-making.",1
Transfer Credit Evaluator,"Evaluates transfer credits, determines course equivalencies, and assists with transfer admission processes.",1
International Admissions Specialist,"Handles international student admissions, reviews international applications, and assists with visa-related processes.",1
University Registrar,"Oversees student records, manages course registration, and ensures compliance with academic policies and regulations.",2
Degree Audit Coordinator,"Reviews student degree requirements, conducts degree audits, and assists with graduation-related processes.",2
Transcript Specialist,"Processes transcript requests, maintains student transcript records, and provides transcript-related services.",2
Records Management Officer,"Develops and implements records management policies, ensures data accuracy and privacy, and maintains document archives.",2
Enrollment Certification Officer,"Verifies student enrollment status, prepares enrollment certifications, and assists with enrollment verification processes.",2
Director of Student Affairs,Provides leadership and strategic direction for student affairs programs and services.,3
Student Engagement Coordinator,"Coordinates student engagement initiatives, plans events, and oversees student organizations.",3
Residential Life Coordinator,"Oversees residential life operations, supervises resident assistants, and supports student housing needs.",3
Student Conduct Officer,"Manages student conduct processes, investigates reports of misconduct, and implements disciplinary actions.",3
Counseling Services Coordinator,"Coordinates counseling services, provides mental health support to students, and oversees counseling programs.",3
Financial Aid Advisor,"Provides financial aid counseling to students, assists with financial aid applications, and administers aid programs.",4
Scholarship Coordinator,"Manages scholarship programs, reviews applications, and awards scholarships to eligible students.",4
Financial Aid Compliance Specialist,"Ensures compliance with financial aid regulations, conducts audits, and maintains accurate financial aid records.",4
Work-Study Program Coordinator,"Coordinates work-study programs, assists with job placements, and monitors work-study eligibility and hours.",4
Financial Aid Systems Analyst,"Manages and maintains financial aid software systems, troubleshoots technical issues, and supports system upgrades and enhancements.",4
Financial Analyst,"Performs financial analysis, budgeting, and forecasting for the university, and provides recommendations for financial decision-making.",5
Accounts Payable Specialist,"Processes vendor invoices, manages payments, and reconciles accounts payable transactions.",5
Budget Manager,"Develops and manages the university budget, monitors expenditure, and provides financial reporting.",5
Financial Controller,"Oversees financial operations, prepares financial statements, and ensures compliance with accounting standards.",5
Tax Specialist,"Manages tax planning and compliance, prepares tax returns, and provides tax-related advice and support.",5
Provost,"Leads academic programs and initiatives, promotes excellence in teaching and research, and collaborates with faculty and deans.",6
Academic Advisor,"Provides academic guidance and support to students, assists with course selection, and monitors academic progress.",6
Curriculum Coordinator,"Develops and manages the university curriculum, ensures alignment with academic standards, and facilitates curriculum review processes.",6
Accreditation Specialist,"Coordinates and supports the universitys accreditation processes, prepares accreditation reports, and ensures compliance with accrediting agencies.",6
Research Grants Administrator,"Manages research grant applications, supports faculty in grant proposal development, and ensures compliance with funding agency requirements.",6
Human Resources Manager,"Oversees HR operations, develops HR policies and procedures, and provides guidance on HR-related matters.",7
Talent Acquisition Specialist,"Recruits and screens candidates for job openings, conducts interviews, and manages the hiring process.",7
Employee Relations Consultant,"Handles employee relations issues, conducts investigations, and provides guidance on conflict resolution.",7
Compensation and Benefits Analyst,"Administers compensation and benefits programs, conducts salary surveys, and analyzes market trends.",7
Training and Development Coordinator,"Designs and delivers training programs, organizes professional development activities, and promotes employee growth.",7
Director of Communications,"Develops and implements communication strategies, manages media relations, and oversees internal and external communications.",8
Marketing Specialist,"Executes marketing campaigns, creates promotional materials, and conducts market research.",8
Social Media Coordinator,"Manages social media channels, creates content, and engages with the universitys online community.",8
Public Relations Manager,"Handles public relations activities, cultivates media relationships, and manages crisis communications.",8
Graphic Designer,"Designs visual materials for marketing and communication purposes, including brochures, posters, and digital graphics.",8
Facilities Director,"Oversees the maintenance and operation of university facilities, manages construction projects, and ensures compliance with safety regulations.",9
Maintenance Supervisor,"Supervises maintenance staff, schedules repairs and maintenance tasks, and ensures the efficient operation of university facilities.",9
Energy Conservation Specialist,"Develops and implements energy-saving initiatives, monitors energy consumption, and identifies opportunities for efficiency improvements.",9
Custodial Services Manager,"Manages custodial staff, oversees cleaning operations, and ensures cleanliness and sanitation of university facilities.",9
